nameFirst,nameLast
Marvin,Benard
Barry,Bonds
Bobby,Estalella
Jason,Giambi
Jeremy,Giambi
Benito,Santiago
Gary,Sheffield
Randy,Velarde
Lenny,Dykstra
David,Segui
Larry,Bigbie
Brian,Roberts
Jack,Cust
Tim,Laker
Josias,Manzanillo
Todd,Hundley
Mark,Carreon
Hal,Morris
Matt,Franco
Rondell,White
Roger,Clemens
Andy,Pettitte
Chuck,Knoblauch
Jason,Grimsley
Gregg,Zaun
David,Justice
F.P.,Santangelo
Glenallen,Hill
Mo,Vaughn
Denny,Neagle
Ron,Villone
Ryan,Franklin
Chris,Donnels
Todd,Williams
Phil,Hiatt
Todd,Pratt
Kevin,Young
Mike,Lansing
Cody,McKay
Kent,Mercker
Adam,Piatt
Miguel,Tejada
Jason,Christiansen
Mike,Stanton
Stephen,Randolph
Jerry,Hairston
Paul,Lo Duca
Adam,Riggs
Bart,Miadich
Fernando,Vina
Kevin,Brown
Eric,Gagne
Mike,Bell
Matt,Herges
Gary,Bennett
Jim,Parque
Brendan,Donnelly
Chad,Allen
Jeff,Williams
Howie,Clark
Mike,Judd
Ricky,Stone
Matt,Karchner
Daniel,Naulty
Rick,Ankiel
David,Bell
Paul,Byrd
Jose,Canseco
Jay,Gibbons
Troy,Glaus
Jason,Grimsley
Jose,Guillen
Darren,Holmes
Gary,Matthews
John,Rocker
Scott,Schoeneweis
Ismael,Valdez
Matt,Williams
Steve,Woodard
Ken,Caminiti
Mark,McGwire
